,Covidence #,Study ID,Title,Reviewer Name,Study ID (from Covidence),Paper Title,Authors ,Year Published,Journal (or publication) Title,Literature Type,Basin in which the article is focused?,What is the stated objective and/or purpose of the study/paper?,What is the stated hypothesis or research question of the study/paper?,Is the paper/study more applied (management focused) or more empirical/theoretical/disciplinary-oriented (basic science)?,What is the primary discipline of the study?,What are the methods used in this study (copy/paste)?,What is the data source(s) used in this study? ,Dates that the study took place? (if relevant),Does the paper talk meaningfully about indigenous worldviews?,What type of knowledge does the study/paper use?,"Is the paper meaningfully interdisciplinary between social and natural sciences (methods, discussion, etc.)?","If yes, please describe.",What species are discussed in the paper?,What type of hatchery/cultivation/stocking program does the paper discuss?,"Does the paper state the objective of the cultivation/hatcheries/stocking it discusses, and if so what is it?","If so, state the objective of the cultivation/hatcheries/stocking.",What type of aquatic system does the hatchery/cultivation/stocking effort use?,How many generations are the brood stock held in the hatchery as stated in the paper?,"If known, indicate the discrete number of generations.",At what life stage are fish released?,"If stated, specify age of release?","If released as fry, what stage of feeding at release?","If feed is used in the study, does the paper indicate the type/brand/origin of the feed?","If yes, please state.",Does the paper state any conclusion about the efficacy of the hatchery/stocking/cultivation program?,"If yes, state conclusion here.","Does the paper have a stated definition of ""wild"" salmon as relevant to the hatchery discussion?","If yes, copy-paste definition/description here:",Do the results suggest one or more hatchery and/or stocking standard(s) or practice(s) for conserving salmonids?,"If so, what is it/are they? ",Do the authors identify a gap/gaps in scientific knowledge of hatchery and/or stocking standard(s) or practice(s)?,"If so, what is it/are they? ","Does the paper state a specific management recommendation? If so, what is it?",What is the key message/finding of the paper?,What are the key themes of the paper?,Does the paper meaningfully and/or explicitly discuss its findings in the context of climate change?,Does this paper meaningfully address one of the key research question topics?,Full authors
0.00188777,5423,Abadia-Cardoso 2016,Population genetic structure and ancestry of steelhead/rainbow trout (Oncorhynchus mykiss) at the extreme southern edge of their range in North America,Consensus,5423,Population genetic structure and ancestry of steelhead/rainbow trout (Oncorhynchus mykiss) at the extreme southern edge of their range in North America,Abadia-Cardoso et al.,2016,Conservation Genetics,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,To conduct a large-scale population genetic analysis of O. mykiss at the extreme southern end of their range to inform recovery planning of this species,Identify patterns of genetic structure and ancestral origins of O. mykiss populations in the southern edge of their native range,More empirical/basic science,"Genetic/evolutionary ecology (life history strategies, phenotype/genotype; phenology, restoration ecology)","We used statistical analysis of
data from more than 100 microsatellite and SNP loci to
provide insight into the origins and ancestry of O. mykiss
populations in the remaining aquatic habitat in this region.",Empirical data,2009 to 2013,No,Western science,No,,Steelhead/Anadromous Rainbow Trout (Oncorhynchus mykiss),Harvest/fisheries augmentation,Yes,due to intense demand for trout angling opportunities,"Mentions stocking only, system not specified",Not stated,,Not stated,,,Feed use not mentioned,,Irrelevant to study,,No,,No,,No,,Not applicable - baseline study,"In extreme southern California where populations are most impacted by humans, native coastal steelhead populations have largely been replaced with hatchery origin  rainbow trout",genetics introgression,No,Conserving wild populations,"Abadia-Cardoso, Alicia; Pearse, Devon E.; Jacobson, Sandra; Marshall, Jack; Dalrymple, Dale; Kawasaki, Frank; Ruiz-Campos, Gorgonio; Garza, John Carlos"
0.005244217,15256,Floury 2019,Interspecific competition between restocked 0+ salmon parr (<i>Salmo salar</i>) and native fish species in a large European river,Consensus,15256,Interspecific competition between restocked 0+ salmon parr (Salmo salar) and native fish species in a large European river,Floury et al,2018,Ecology of Freshwater Fish,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Atlantic,investigating the trophic insertion of hatchery-reared salmon parr and whether they compete for resources with native fish species,"Research questions are a) what are the changes in density and size of 
remaining restocked parr and (b) feeding strategies and competitionÉ??using invertebrate traits of vulnerability to predation as well as indices of niche width and overlapÉ??over several months following restocking.",More empirical/basic science,"Biology/ecology (prey/feeding, migrations, interactions/competition, predation, etc.)","electrofishing surveys, standardised removal fishings to estimate densities; stomach contents analysis for diet studies",Empirical data,2013,No,Western science,No,,Atlantic Salmon (Salmo salar),Conservation stocking; Restoration stocking,Yes,To reduce the decline in the wild population,"Mentions stocking only, system not specified","None, new brood stock collected each year",,Fry,,Other: the feeding stage is not mentioned,Feed use not mentioned,,No,,No,,Yes,"In regard to smolt production, the recommended densities of restocked salmon parr were only maintained when the summer water temperature remained 
within the comfort range.",No,,"future restocking programmes have to take into account not only the thermal and hydraulic conditions but also the 
general trophic context of the targeted rivers, including the potential 
inconvenience caused by the sudden arrival of restocked salmon fry to 
native species.","the high restocking density of 0+ salmon parr can exceptionally increase the effects of competition for habitat resource, with potential negative effects on barbel juveniles (upstream site) and probably 0+ parr themselves downstream site) when the temperature rose above the discomfort threshold.","diet, interspecifc competition, trophic niches",Yes,Does not address research topics,"Floury, Mathieu; Colombet, Jonathan; Desvilettes, Christian"
0.005364979,6626,Stich 2015,"Linking Behavior, Physiology, and Survival of Atlantic Salmon Smolts During Estuary Migration",Consensus,6626,"Linking Behavior, Physiology, and Survival of Atlantic Salmon Smolts During Estuary Migration",Stich et al.,2015,"Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science ","Peer-reviewed literature (i.e., journal article, thesis, etc.)",Atlantic,"It aimed to understand how individual fish traits, migratory history, and environmental factors influence estuary arrival dates, movement rates, and smolt survival. ","Individual fish characteristics, migratory history, and environmental variability significantly influence the estuary arrival date, movement rate, and survival of Atlantic Salmon smolts during migration through the Penobscot River estuary.",More empirical/basic science,"Biology/ecology (prey/feeding, migrations, interactions/competition, predation, etc.)","We examined movements and survival of 941 smolts (141 wild and 800 hatchery-reared fish) released in freshwater during passage through the Penobscot River estuary, Maine, from 2005 to 2013. We related trends in estuary arrival date, movement rate, and survival to fish characteristics, migratory history, and environmental conditions in the estuary. ",Empirical data,2005-2013,No,Western science,No,,Atlantic Salmon (Salmo salar),Purpose not stated,No,,Not clearly stated/defined,Not stated,,Not stated,,,Feed use not mentioned,,No,,No,,No,,No,,No,"Findings show that environmental conditions affect migration timing, while physiological readiness and dam passage impact survival. Removal of dams could improve smolt survival, aiding conservation efforts.","smolt estuary migration, dams",No,Conserving wild populations,"Stich, Daniel S.; Zydlewski, Gayle B.; Kocik, John F.; Zydlewski, Joseph D."
0.00687798,5083,Kitada 2020,Lessons from Japan marine stock enhancement and sea ranching programmes over 100 years,Consensus,5083,Lessons from Japan marine stock enhancement and sea ranching programs over 100 years,Shuichi Kitada,2020,Reviews in Aquaculture,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,"To analyse the effects of stocking by Japanese marine and salmon stock
enhancement programmes and evaluate their efficacy ",,More empirical/basic science,"Stock analysis (assessment, growth, recruitment, survival, harvest, contributions from wild and hatchery, etc.)",Bayesian meta-analysis,Empirical data,N/A,No,Western science,No,,Pink/Humpy (Oncorhynchus gorbuscha); Chum/Dog/Keta (Oncorhynchus keta),Harvest/fisheries augmentation,Yes,"""to increase fishery production of returning chum salmon""",Irrelevant to study,Not stated,N/A,Not stated,N/A,,Feed use not mentioned,N/A,Yes,"No evidence of fitness decline has been reported among
hatchery-born and wild-born chum salmon in Japan. The
observed genetic effect is instead an altered population
structure, with some populations nested across seven and/
or eight regional groups (Beacham et al. 2008; Kitada 2014;
Sato et al. 2014; Kitada 2018). The run-timing distribution
of Hokkaido chum salmon has been altered by the prefer-
ential enhancement of early-running fish (returning in
September/October), and the late-running population has
almost disappeared (Miyakoshi et al. 2013). the
spawning fidelity of hatchery-reared chum salmon was
moderate.",No,N/A,No,N/A,No,N/A,No,"All cases of Japanese hatchery releases, except Japanese scal-
lop, are probably economically unprofitable if the costs of
personnel expenses, facility construction, monitoring and
negative impacts on wild populations are taken into
account.",Japan; chum salmon; efficacy,No,Supporting fisheries,"Kitada, Shuichi"
0.012316804,5522,Nekouei 2019,"Comparison of infectious agents detected from hatchery and wild juvenile Coho salmon in British Columbia, 2008-2018",Consensus,5522,Comparison of infectious agents detected from hatchery and wild juvenile coho salmon in British Columbia 2008-2018,Nekouei et al,2019,PLOS One,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,"compare prevalence, burden, and diversity of infectious agents between hatchery-reared and wild juvenile Coho salmon in British Columbia","hatchery-reared Coho salmon smolts carry a higher burden of infectious agents at the time they are released from the hatchery compared to their wild counterparts, and that they continue to carry higher agent burdens in the early marine environment",More empirical/basic science,Fish Health,genetically screen for presence and diversity of infectious agents,Empirical data,2008-2018,No,Western science,No,,Silver/Coho (Oncorhynchus kisutch),Harvest/fisheries augmentation,Yes,increase the abundance of Coho salmon and enhance fishing opportunities along the coast of Canada,"Mentions stocking only, system not specified",Not stated,,Not stated,,,Feed use not mentioned,,Irrelevant to study,,Yes,Wild fish are defined as fish that developed from eggs produced by parents that spawned naturally in the river bed,No,,Yes,"histopathological evidence of diseases associated with these agents, shifts in agent distributions between seasons, and evaluation of potential associations between infections and marine survival and productivity of major Coho salmon populations",No,hatchery practices or hatchery-derived fish did not increase the pathogen levels or prevalences among sympatric wild salmonid stocks,"infectious agents, pathogens",No,Conserving wild populations,"Nekouei, Omid; Vanderstichel, Raphael; Kaukinen, Karia H.; Thakur, Krishna; Ming, Tobi; Patterson, David A.; Trudel, Marc; Neville, Chrys; Miller, Kristina M."
0.014207396,5987,Hemstrom 2018,"Fish ladder installation across a historical barrier asymmetrically increased conspecific introgressive hybridization between wild winter and summer run steelhead salmon in the Siletz River, Oregon",Consensus,5987,"Fish ladder installation across a historical barrier asymmetrically
increased conspecific introgressive hybridization between wild
winter and summer run steelhead salmon in the Siletz River,
Oregon",Hemstrom et al.,2018,Canadian Journal of Fisheries and Aquatic Sciences,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,"To better understand the factors that may cause intraspecific
hybridization (and outbreeding depression) between different summer and winter steelhead runs in the same system, we examined steelhead found in the Siletz River of northern coastal Oregon.",None,Both (study has strong elements of both),"Genetic/evolutionary ecology (life history strategies, phenotype/genotype; phenology, restoration ecology)","Extracted DNA from the samples we collected according to
the process described by Ivanova et al. (2006). We then used poly-
merase chain reactions (PCR) to amplify the extracted DNA at 14
previously described microsatellite loci from summer run wild, summer run hatchery, winter run wild and winter run hatchery.",Empirical data,,No,Western science,No,,Steelhead/Anadromous Rainbow Trout (Oncorhynchus mykiss),Purpose not stated,No,,Irrelevant to study,Not stated,,Not stated,,,Feed use not mentioned,,"Other: We found several pieces of evidence to indicate that the genetic
diversity of both hatchery groups is lower than their respective
wild populations.",,No,,No,,,,Results suggest managers must carefully balance the risks of inbreeding and out-breeding depression when considering barrier removal in systems with multiple salmonid life histories.,"Our findings suggest strongly that differences in return timing
in steelhead, even when substantial, may not be sufficient to pre-
vent hybridization without barriers or other factors such as sub-
stantial geographic distance. Given that summer run steelhead
constitute an important adaptive ecotype (Arciniega et al. 2016),
barrier removal may therefore risk outbreeding depression in
such populations and could eventually lead to later average re-
turns and potentially eventual loss of the summer return pheno-
type. However, the increased genetic diversity brought about by
admixture between summer and winter run ecotypes could even-
tually outweigh outbreeding depression, particularly given uncer-
tainty in future climate predictions. ",Summer run and winter run steelhead hybridization. Removal of migration barrier increases hybridization. Pros and cons of hybridization in light of climate change. ,Yes,Conserving wild populations,"Hemstrom, William; van de Wetering, Stan; Banks, Michael"
0.017029644,16798,HOLSMAN 2012,"Interacting Effects of Translocation, Artificial Propagation, and Environmental Conditions on the Marine Survival of Chinook Salmon from the Columbia River, Washington, U.S.A.; Efectos Interactuantes de la Translocaci??n, Propagaci??n Artificial y Condicion",Consensus,16798,"Interacting effects of translocation, artificial propagation, and environmental conditions on the marine survival of Chinook salmon from the Columbia River Washington USA",Holsman et al,2012,Conservation Biology,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,how do translocation and hatchery propagation interact with marine conditions to affect marine survival,"evaluate the probability of an individual fish returning as an adult relative to its
rearing (hatchery vs. wild) and translocation histories (translocated vs. in-river migrating fish that traveled
downriver through the hydropower system) and a suite of environmental variables.",More management/applied; More empirical/basic science,"Biology/ecology (prey/feeding, migrations, interactions/competition, predation, etc.); Stock analysis (assessment, growth, recruitment, survival, harvest, contributions from wild and hatchery, etc.)",used PIT tag data to make comparisons between adults that returned and their status as juveniles taking into account various measures of marine conditions encountered,Empirical data,,No,Western science,No,,King/Chinook (Oncorhynchus tshawytscha),Conservation stocking; Restoration stocking; Reintroduction stocking; Mitigation/mandated stocking (offsetting); Moving fish from place to place (no hatchery),No,,"Mentions stocking only, system not specified",Not stated,,Not stated,,,Other: Not stated,,Yes,"management actions that target
a specific life-history stage can alter trajectories of survival in subsequent life stages; translocation and artificial propagation may act synergistically to affect subsequent survival; and intra- and interannual variability in environmental conditions may differentially affect the survival of translocated, captive bred, and wild individuals.",No,,Yes,"Captively reared fish benefited from transportation in every year we analyzed, especially when river flow was lowest.",Yes,"Future research on seasonal and
annual patterns in the river and marine survival of Chinook salmon could help improve managersÉ?? abilities to adjust the timing of transportation and release of fish from hatcheries","our results support recent adaptive management measures in the Columbia
River basin to delay the onset of transport until later in the season when wild fish are larger and the negative effect of transport on the survival of wild fish is reduced.   Conceivably, with sufficient information managers could use captive rearing and
translocation to increase the diversity of migration phenologies for populations of species at risk of extinction and counter homogenizing effects of climate-induced environmental mismatch.","First, the interaction between management actions and environmental conditions should be considered, and, second, it may be inappropriate to compare historical rates of survival of natural populations with survival rates of translocated and captively bred individuals that likely have different responses to environmental drivers of production and survival.","match-mismatch, translocation, captive rearing, marine conditions",Yes,Conserving wild populations,"HOLSMAN, KIRSTIN K.; SCHEUERELL, MARK D.; BUHLE, ERIC; EMMETT, ROBERT"
0.017195069,41137,Agren 2019,"Experimental crossbreeding reveals strain-specific variation in mortality, growth and personality in the brown trout (Salmo trutta)",Consensus,41137,"Experimental crossbreeding reveals strain-specific variation in mortality, growth and personality in the brown trout (Salmo trutta)",Agren et al,2019,Scientific Reports,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Other: Both Baltic and Arctic - Atlantic side,"To assess how experimental hybridization of a hatchery-strain of migratory brown trout (Salmo trutta) females with males of a wild resident but local population (from the same river system) and with males from two geographically distinct migratory hatchery strains (Fig. 1) affects the early survival, growth and personality of F1 offspring","We predicted that crossing with wild males would decrease the boldness of the offspring, whereas crossing with geographically distinct males should increase variance among offspring and potentially cause outbreeding depression detectable as increased mortality and retarded growth. We predicted that a long history of the strain in hatchery conditions (represented by River Oulujoki watercourse 
and Rautalampi watercourse strains) should result in increased boldness and survival of the juveniles in hatchery conditions.",More empirical/basic science,"Genetic/evolutionary ecology (life history strategies, phenotype/genotype; phenology, restoration ecology)","The females from the River Oulujoki watercourse broodstock (3rd or 4th hatchery generation) were mated with males from the same strain (also representing 3rd or 4th hatchery generation fish) as well as with males from three other brown trout strains, thus resulting in one control (pure-bred) F1 group and three hybrid F1 groups. Eggs and alevins were incubated in tanks, then feeding fry transported to 60 separate rearing tanks until the end of the experiment. Behavioral experiments quantifying individuals' boldness and exploration tendencies were performed for five individuals from each of these 60 tanks. Samples of fish were measured for body length in late May, mid-July and then early September. ",Empirical data,October 2011 to September 2012,No,Western science,No,,Sea trout/Anadromous Brown Trout (Salmo trutta trutta),Scientific stocking,No,,Freshwater (system not specified),Paper states a number of discrete generations,3 or 4,Not stated,,,Yes, commercial dry salmonid food (Biomar INICIO plus G; 0.4É??1.1mm),Irrelevant to study,,Yes,fish born in the wild environment,Yes,"the relative costs and benefits of mixing endangered populations should be evaluated on case-by-case basis; Personality differences between hybrid and purebred strain trout appeared to occur at genetic level, which calls for caution in stockings involving the risk of hybridization.",No,,No specific management recommendation.,"Brown trout personality traits involve heritable variation in fish and significant differences can be found between populations from very close geographical locations. Personality differences between hybrid and purebred strain trout appeared to occur at genetic level, which calls for caution in stockings involving the risk of hybridization. The present findings also warn about the occurrence of outbreeding depression in early mortality and growth between genetically and geographically 
distinct strains.",hybridization; genetics; domestication,No,Does not address research topics,"Agren, Anni; Vainikka, Anssi; Janhunen, Matti; Hyvarinen, Pekka; Piironen, Jorma; Kortet, Raine"
0.020256031,18543,Wenne 2016,Recent genetic changes in enhanced populations of sea trout (Salmo trutta m. trutta) in the southern Baltic rivers revealed with SNP analysis (Aricle 103),Consensus,18543,Recent genetic changes in enhanced populations of sea trout (Salmo trutta m. trutta) in the southern Baltic rivers revealed with SNP analysis,Wenne et al,2016,Aquatic Living Resources,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Other: Baltic,"The aim of this paper was to find changes over 13 years in genetic structure of very weakly spatially differentiated and intensively enhanced sea trout populations in southern Baltic, Poland",none stated,More empirical/basic science,"Genetic/evolutionary ecology (life history strategies, phenotype/genotype; phenology, restoration ecology)",SNPs,Empirical data,"sampling in the wild in 1996 and 2009, sampling in hatchery in 2005",No,Western science,No,,Sea trout/Anadromous Brown Trout (Salmo trutta trutta),Harvest/fisheries augmentation; Mitigation/mandated stocking (offsetting),Yes,mitigate for lost habitats due to dams and other blockages,"Mentions stocking only, system not specified",Not stated,,Fry; Parr; Juvenile; Smolt,,,Feed use not mentioned,,No,,No,,Yes,"Broodstock selection is not currently based on genetic tests, leaving a real possibility that spawning individuals can be erroneously selected from É??contaminatedÉ?? stock, with a pool of ancestors from the Pomeranian populations. Therefore a further genetic monitoring of the source spawners for production of hatchery offspring needs to be developed and performed.",No,,"With the increase of natural breeding, artificial enhancement of sea trout populations should be reduced.","Temporal changes in the genetics of sea trout populations in Poland between 1996 and 2009 may result from the implementation of a new stocking strategy for the restoration and protection of Vistula sea trout (i.e. only stocking in rivers of parental origin). Clearance of existing and building of new passes for migration of fishes around dams, restitution of river niches appropriate for natural spawning of sea trout could also have influenced the observed change.","genetics, introgression, restoring genetic diversity",No,Does not address research topics,"Wenne, Roman; Bernas, R; Pocwierz-Kotus, Anita; Drywa, Agata; Was, Anna"
0.023370068,5489,Zelennikov 2019,Gametogenesis of Pacific Salmons: 1. The State of Gonads of Juvenile Pink Salmon Oncorhynhus gorbuscha under the Conditions of Its Natural and Hatchery Reproduction in Sakhalin Oblast,Consensus,5489,Gametogenesis of Pacific Salmons: 1. The State of Gonads of Juvenile Pink Salmon Oncorhynhus gorbuscha under the Conditions of Its Natural and Hatchery Reproduction in Sakhalin Oblast,Zelennikov and Yuchak,2019,Journal of Ichthyology,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,The purpose of our research was to find out how the new growing conditions influenced the gametogenesis of juvenile pink salmon.,None.,More empirical/basic science,"Genetic/evolutionary ecology (life history strategies, phenotype/genotype; phenology, restoration ecology); Biology/ecology (prey/feeding, migrations, interactions/competition, predation, etc.)","Natural juveniles were caught at night during their downstream migration; hatchery fish were taken from the first batch at each hatchery, immediately before their release into the wild. Histological processing including assessment of the state of ovaries.",Empirical data,MayÉ??June 2016 and 2017,No,Western science,No,,Pink/Humpy (Oncorhynchus gorbuscha),Purpose not stated,No,,Freshwater (system not specified),Not stated,,Juvenile,,,Feed use not mentioned,,Irrelevant to study,,No,,No,,No,,No.,Greater somatic growth of female fry at hatcheries did not result in increased number of oocytes but did result in increased oocyte volume. Males had similar low levels of gametogenesis.,"hatchery-wild comparison, developmental biology",No,Conserving wild populations,"Zelennikov, O. V.; Yurchak, M. I."
